time-date stamp,Date,demand,wind,solar,t
1/1/22 1:00,1-Jan,38.124,0.3531,0.0000,1
1/1/22 2:00,1-Jan,37.123,0.3770,0.0000,2
1/1/22 3:00,1-Jan,35.937,0.4204,0.0000,3
1/1/22 4:00,1-Jan,35.133,0.4818,0.0000,4
1/1/22 5:00,1-Jan,34.603,0.5366,0.0000,5
1/1/22 6:00,1-Jan,34.451,0.5315,0.0000,6
1/1/22 7:00,1-Jan,34.571,0.5425,0.0000,7
1/1/22 8:00,1-Jan,34.635,0.5357,0.0008,8
1/1/22 9:00,1-Jan,35.604,0.5062,0.1442,9
1/1/22 10:00,1-Jan,37.914,0.4950,0.3710,10
1/1/22 11:00,1-Jan,39.986,0.5177,0.3479,11
1/1/22 12:00,1-Jan,41.833,0.5204,0.2887,12
1/1/22 13:00,1-Jan,43.162,0.4782,0.3851,13
1/1/22 14:00,1-Jan,44.006,0.4348,0.5086,14
1/1/22 15:00,1-Jan,44.248,0.4108,0.5439,15
1/1/22 16:00,1-Jan,44.208,0.4198,0.4968,16
1/1/22 17:00,1-Jan,44.337,0.4943,0.2159,17
1/1/22 18:00,1-Jan,44.981,0.5500,0.0249,18
1/1/22 19:00,1-Jan,46.107,0.5811,0.0000,19
1/1/22 20:00,1-Jan,45.944,0.5982,0.0000,20
1/1/22 21:00,1-Jan,45.758,0.6104,0.0000,21
1/1/22 22:00,1-Jan,45.519,0.6256,0.0000,22
1/1/22 23:00,1-Jan,44.806,0.6368,0.0000,23
1/2/22 0:00,1-Jan,43.861,0.6306,0.0000,24
1/2/22 1:00,2-Jan,42.88,0.6054,0.0000,25
1/2/22 2:00,2-Jan,42.167,0.5836,0.0000,26
1/2/22 3:00,2-Jan,42.061,0.5843,0.0000,27
1/2/22 4:00,2-Jan,42.512,0.5928,0.0000,28
1/2/22 5:00,2-Jan,43.466,0.6071,0.0000,29
1/2/22 6:00,2-Jan,44.87,0.5940,0.0000,30
1/2/22 7:00,2-Jan,46.848,0.5835,0.0000,31
1/2/22 8:00,2-Jan,49.303,0.5666,0.0018,32
1/2/22 9:00,2-Jan,51.361,0.5256,0.1998,33
1/2/22 10:00,2-Jan,52.453,0.4617,0.5894,34
1/2/22 11:00,2-Jan,52.303,0.3804,0.6689,35
1/2/22 12:00,2-Jan,51.422,0.3187,0.6491,36
1/2/22 13:00,2-Jan,50.254,0.3073,0.6674,37
1/2/22 14:00,2-Jan,48.523,0.2815,0.6946,38
1/2/22 15:00,2-Jan,47.015,0.2540,0.7289,39
1/2/22 16:00,2-Jan,46.134,0.2227,0.7327,40
1/2/22 17:00,2-Jan,46.227,0.1807,0.5544,41
1/2/22 18:00,2-Jan,48.728,0.1487,0.1025,42
1/2/22 19:00,2-Jan,51.675,0.1427,0.0000,43
1/2/22 20:00,2-Jan,52.376,0.1409,0.0000,44
1/2/22 21:00,2-Jan,52.326,0.1442,0.0000,45
1/2/22 22:00,2-Jan,52.011,0.1456,0.0000,46
1/2/22 23:00,2-Jan,50.709,0.1437,0.0000,47
1/3/22 0:00,2-Jan,49.444,0.1420,0.0000,48
1/3/22 1:00,3-Jan,48.508,0.1436,0.0000,49
1/3/22 2:00,3-Jan,48.268,0.1466,0.0000,50
1/3/22 3:00,3-Jan,48.383,0.1501,0.0000,51
1/3/22 4:00,3-Jan,49.061,0.1549,0.0000,52
1/3/22 5:00,3-Jan,50.362,0.1660,0.0000,53
1/3/22 6:00,3-Jan,52.624,0.1852,0.0000,54
1/3/22 7:00,3-Jan,55.64,0.1920,0.0000,55
1/3/22 8:00,3-Jan,57.623,0.2057,0.0069,56
1/3/22 9:00,3-Jan,57.022,0.2235,0.2756,57
1/3/22 10:00,3-Jan,54.317,0.1683,0.7133,58
1/3/22 11:00,3-Jan,51.49,0.1236,0.7598,59
1/3/22 12:00,3-Jan,48.693,0.1514,0.7261,60
1/3/22 13:00,3-Jan,46.318,0.1904,0.7044,61
1/3/22 14:00,3-Jan,44.411,0.2129,0.7152,62
1/3/22 15:00,3-Jan,42.985,0.2356,0.7485,63
1/3/22 16:00,3-Jan,42.357,0.2686,0.7181,64
1/3/22 17:00,3-Jan,42.582,0.2803,0.4442,65
1/3/22 18:00,3-Jan,44.934,0.2818,0.0611,66
1/3/22 19:00,3-Jan,48.097,0.3898,0.0000,67
1/3/22 20:00,3-Jan,49.043,0.5191,0.0000,68
1/3/22 21:00,3-Jan,49.36,0.6015,0.0000,69
1/3/22 22:00,3-Jan,48.734,0.6064,0.0000,70
1/3/22 23:00,3-Jan,47.184,0.6047,0.0000,71
1/4/22 0:00,3-Jan,45.514,0.6032,0.0000,72
1/4/22 1:00,4-Jan,44.414,0.5990,0.0000,73
1/4/22 2:00,4-Jan,43.948,0.5919,0.0000,74
1/4/22 3:00,4-Jan,43.944,0.5757,0.0000,75
1/4/22 4:00,4-Jan,44.467,0.5637,0.0000,76
1/4/22 5:00,4-Jan,45.757,0.5662,0.0000,77
1/4/22 6:00,4-Jan,48.308,0.5829,0.0000,78
1/4/22 7:00,4-Jan,51.822,0.5794,0.0000,79
1/4/22 8:00,4-Jan,53.673,0.5719,0.0054,80
1/4/22 9:00,4-Jan,52.662,0.5466,0.1368,81
1/4/22 10:00,4-Jan,50.155,0.5012,0.3484,82
1/4/22 11:00,4-Jan,47.931,0.4945,0.4265,83
1/4/22 12:00,4-Jan,45.799,0.5267,0.4149,84
1/4/22 13:00,4-Jan,44.121,0.5361,0.4021,85
1/4/22 14:00,4-Jan,42.785,0.5298,0.4169,86
1/4/22 15:00,4-Jan,41.716,0.5160,0.4300,87
1/4/22 16:00,4-Jan,41.229,0.4988,0.4693,88
1/4/22 17:00,4-Jan,41.362,0.4542,0.4840,89
1/4/22 18:00,4-Jan,42.508,0.4092,0.1002,90
1/4/22 19:00,4-Jan,44.558,0.4317,0.0000,91
1/4/22 20:00,4-Jan,44.416,0.5011,0.0000,92
1/4/22 21:00,4-Jan,43.961,0.5232,0.0000,93
1/4/22 22:00,4-Jan,42.702,0.5209,0.0000,94
1/4/22 23:00,4-Jan,40.774,0.5108,0.0000,95
1/5/22 0:00,4-Jan,38.938,0.4709,0.0000,96
1/5/22 1:00,5-Jan,37.726,0.4446,0.0000,97
1/5/22 2:00,5-Jan,37.244,0.4321,0.0000,98
1/5/22 3:00,5-Jan,37.271,0.4282,0.0000,99
1/5/22 4:00,5-Jan,37.777,0.4786,0.0000,100
1/5/22 5:00,5-Jan,39.027,0.5078,0.0000,101
1/5/22 6:00,5-Jan,41.49,0.5221,0.0000,102
